id,text,url,processed_gpe,predicted_model,heirarchical_without_sm_geonames,more_flag_h,mixtral_spacy,svm_1,mixtral,local_path
00059.jsonl.gz-15076472,Beautiful apartment for sale in Omid sabz Kabul,https://maskanyab.af/wp-content/uploads/2021/01/Beautiful-Apartment-for-sale-in-Kabul-.jpg3_.jpg,Omid_Kabul,sm,uganda_philippines_uzbekistan_pakistan_bulgaria_afghanistan,True,afghanistan,1,afghanistan,/data2/abhipsa/geographical-profiling-static/data/image_folders/apartment_region_balanced_images/00059.jsonl.gz-15076472.jpg
00078.jsonl.gz-16987811,Bullet-scarred apartment building and shops in the Karte Char district of Kabul. This area saw fighting between Hikmetyar and Rabbani and then between Rabbani and the Hazaras.,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/pictures/2014/11/24/1416845382762/a1b20504-d989-44c2-8553-977e98657ba3-2060x1647.jpeg?width=300&quality=85&auto=format&fit=max&s=78e852793f234844e8ade909a5609fd7,Kabul,sm,philippines_uzbekistan_pakistan_bulgaria_afghanistan,True,afghanistan,1,afghanistan,/data2/abhipsa/geographical-profiling-static/data/image_folders/apartment_region_balanced_images/00078.jsonl.gz-16987811.jpg
00096.jsonl.gz-10577569,Luxury New Apartment for Mortgage in Herat,https://maskanyab.af/wp-content/uploads/2020/02/Luxury-New-Apartment-for-Mortgage-in-Herat-5-576x444.jpg,Herat,trf,pakistan,False,pakistan,1,afghanistan,/data2/abhipsa/geographical-profiling-static/data/image_folders/apartment_region_balanced_images/00096.jsonl.gz-10577569.jpg
00117.jsonl.gz-5966081,"""""""Dublex apartment for rent at """"""""Kodra e Diellit"""""""" residence in Tirana. A luxury apartment t""""""",http://www.realestate.al/thumbs/350x/foto/1362999846-rent_Tirana(12).JPG,Tirana,sm,albania,False,albania,1,albania,/data2/abhipsa/geographical-profiling-static/data/image_folders/apartment_region_balanced_images/00117.jsonl.gz-5966081.jpg
00020.jsonl.gz-15450949,Apartment for rent in Cerciz Topulli Street in Tirana.,https://www.realestate.al/thumbs/350x/foto/1427283193-apartament_for_rent_in_the_center_of_tirana(00).JPG,Tirana,sm,albania,False,albania,1,albania,/data2/abhipsa/geographical-profiling-static/data/image_folders/apartment_region_balanced_images/00020.jsonl.gz-15450949.jpg
00032.jsonl.gz-11275770,"Two bedroom apartment for sale in Viktor Eftemiu street in Tirana, Albania. It is situated on the 6",https://www.realestate.al/thumbs/640x/foto/1571664980-apartamentshitje.JPG,Tirana_Albania,sm,mexico_italy_colombia_albania_honduras_costa rica,True,albania,1,albania,/data2/abhipsa/geographical-profiling-static/data/image_folders/apartment_region_balanced_images/00032.jsonl.gz-11275770.jpg
00030.jsonl.gz-46013,"Women of Algiers in Their Apartment Eugène Delacroix, 1834","http://slideplayer.org/slide/1336483/3/images/54/Women+of+Algiers+in+Their+Apartment+Eug%C3%A8ne+Delacroix,+1834.jpg",Algiers,trf,algeria_united states_philippines_south africa,True,algeria,1,algeria,/data2/abhipsa/geographical-profiling-static/data/image_folders/apartment_region_balanced_images/00030.jsonl.gz-46013.jpg
00018.jsonl.gz-13030836,cozy apartment - Alger - Departamento,https://a0.muscache.com/im/pictures/86727224/94b0c47a_original.jpg?aki_policy=large,- alger - departamento,,no,False,no,1,algeria,/data2/abhipsa/geographical-profiling-static/data/image_folders/apartment_region_balanced_images/00018.jsonl.gz-13030836.jpg
00119.jsonl.gz-261593,Find an apartment to buy in Sidi Abdellah. 3 Surgery.,https://www.mubawab-media.com/ad/7/142/746F/h/photo_1_0_7999008.jpg,Sidi Abdellah,trf,algeria_morocco,True,algeria,1,algeria,/data2/abhipsa/geographical-profiling-static/data/image_folders/apartment_region_balanced_images/00119.jsonl.gz-261593.jpg
00039.jsonl.gz-12021581,Apartment Sale El Tarter Canillo,https://www.immobiliariasuperior.com/images/productes/image/10001-4_p.jpg,tarter canillo,,no,False,no,1,andorra,/data2/abhipsa/geographical-profiling-static/data/image_folders/apartment_region_balanced_images/00039.jsonl.gz-12021581.jpg
00051.jsonl.gz-2632271,"Thumbnail 4 bed apartment for sale in 8665, Near The French Embassy, Andorra",https://lid.zoocdn.com/354/255/b473c98b464972263e5a86082eb09e02756de006.jpg,Andorra,trf,spain_cuba_peru_colombia_united states_andorra_france,True,andorra,1,andorra,/data2/abhipsa/geographical-profiling-static/data/image_folders/apartment_region_balanced_images/00051.jsonl.gz-2632271.jpg
00075.jsonl.gz-10978429,Apartment for 4 people in Soldeu,http://images4.muchosol.co.uk/soldeu-andorra/apartment-55228/apartment-soldeu-pet-friendly-with-tv-with-washing-machine-1210731-sm.jpg,Soldeu,sm,andorra,False,andorra,1,andorra,/data2/abhipsa/geographical-profiling-static/data/image_folders/apartment_region_balanced_images/00075.jsonl.gz-10978429.jpg
