id,text,url,processed_gpe,predicted_model,heirarchical_without_sm_geonames,more_flag_h,mixtral_spacy,svm_1,mixtral,local_path
00030.jsonl.gz-8443484,"Three Bedroom Apartment for Rent in Tirana, Albania.",https://albaniapropertygroup.com/source/Tirane-ALTR030/DSC_0028.jpg,Tirana_Albania,sm,colombia_mexico_honduras_albania_costa rica_italy,True,albania,1,albania,/data2/abhipsa/geographical-profiling-static/data/image_folders/bedroom_region_balanced_images/00030.jsonl.gz-8443484.jpg
00070.jsonl.gz-15372041,Two bedroom apartment for Rent in a central part of Tirana,https://albaniapropertygroup.com/source/Tirane-ALTR103/DSC_0022.jpg,Tirana,sm,albania,False,albania,1,albania,/data2/abhipsa/geographical-profiling-static/data/image_folders/bedroom_region_balanced_images/00070.jsonl.gz-15372041.jpg
00033.jsonl.gz-5848548,Two Bedroom Apartment for Rent in Tirana,https://albaniapropertygroup.com/source/Tirane-ALTR108/IMG_1900.jpg,Tirana,sm,albania,False,albania,1,albania,/data2/abhipsa/geographical-profiling-static/data/image_folders/bedroom_region_balanced_images/00033.jsonl.gz-5848548.jpg
00013.jsonl.gz-14606723,vend chambre coucher alg rie. Black Bedroom Furniture Sets. Home Design Ideas,http://www.made-in-algeria.com/_medias_files/annonces_files/9921_01.jpg,alg,lg,no,False,no,1,algeria,/data2/abhipsa/geographical-profiling-static/data/image_folders/bedroom_region_balanced_images/00013.jsonl.gz-14606723.jpg
00000.jsonl.gz-5681821,Algere Contemporary Captains Configurable Bedroom Set by Gracie Oaks,https://secure.img1-fg.wfcdn.com/im/39754449/resize-h299-p1-w299%5Ecompr-r85/4115/41150755/Algere+Contemporary+Captains+Configurable+Bedroom+Set.jpg,algere captains configurable gracie oaks,,no,False,no,1,algeria,/data2/abhipsa/geographical-profiling-static/data/image_folders/bedroom_region_balanced_images/00000.jsonl.gz-5681821.jpg
00054.jsonl.gz-9586680,Antigua Yacht Club Marina Resort: One Bedroom Suite,https://media-cdn.tripadvisor.com/media/photo-s/06/46/74/4a/antigua-yacht-club-marina.jpg,antigua resort:,,no,False,no,1,antigua and barbuda,/data2/abhipsa/geographical-profiling-static/data/image_folders/bedroom_region_balanced_images/00054.jsonl.gz-9586680.jpg
00057.jsonl.gz-13891135,Hammock Cove Resort and Spa bedroom,https://cdn.travelpulse.com/images/99999999-9999-9999-9999-999999999999/e80ad679-e904-3049-5061-15961103b029/630x355.jpg,,,no,False,no,1,antigua and barbuda,/data2/abhipsa/geographical-profiling-static/data/image_folders/bedroom_region_balanced_images/00057.jsonl.gz-13891135.jpg
00124.jsonl.gz-10941291,south point antigua deluxe bedroom suite imagery,https://i0.wp.com/www.alexie.co/wp-content/uploads/2017/02/DeluxeBed.jpg?resize=780%2C520,antigua,,no,False,no,1,antigua and barbuda,/data2/abhipsa/geographical-profiling-static/data/image_folders/bedroom_region_balanced_images/00124.jsonl.gz-10941291.jpg
00061.jsonl.gz-10901697,Bedroom in Minimalist Casa Carrara by Andres Remy Architects,https://3.bp.blogspot.com/-bZoROT4oEGs/Um1G-qSdx4I/AAAAAAAAbzc/-Z5xNmak_Dc/s1600/Minimalist_Casa_Carrara_by_Andres_Remy_Architects_on_world_of_architecture_15.jpg,casa andres remy architects,,no,False,no,1,argentina,/data2/abhipsa/geographical-profiling-static/data/image_folders/bedroom_region_balanced_images/00061.jsonl.gz-10901697.jpg
00090.jsonl.gz-5900895,A Cozy and Modern Indoor-Outdoor Bedroom in Buenos Aires,https://images.dwell.com/photos-6063391372700811264/6133442558887333888-medium/the-master-bedroom.jpg,Buenos Aires,sm,"spain_el salvador_peru_ecuador_uruguay_sao tome and principe_mexico_brazil_puerto rico_united states_chile_panama_italy_argentina_honduras_bolivia, plurinational state of_dominican republic_cuba_costa rica_colombia_guatemala_nicaragua_philippines_venezuela, bolivarian republic of",True,argentina,1,argentina,/data2/abhipsa/geographical-profiling-static/data/image_folders/bedroom_region_balanced_images/00090.jsonl.gz-5900895.jpg
00008.jsonl.gz-14093463,A bedroom at your accommodations on your Patagonia Yoga Retreat with The Travel Yogi.,https://thetravelyogi.com/wp-content/uploads/2021/04/7-1.png,accommodations patagonia yogi.,,no,False,no,1,argentina,/data2/abhipsa/geographical-profiling-static/data/image_folders/bedroom_region_balanced_images/00008.jsonl.gz-14093463.jpg
00017.jsonl.gz-13428550,Bedroom Furniture Yerevan,https://cometoarmenia.am/shops/furniture/953/bed_b_17.jpg,Yerevan,lg,armenia,False,armenia,1,armenia,/data2/abhipsa/geographical-profiling-static/data/image_folders/bedroom_region_balanced_images/00017.jsonl.gz-13428550.jpg
00040.jsonl.gz-3541467,"Additional photo for property listing at Azure Residences 2 bedroom Eagle Beach, 阿鲁巴 阿鲁巴岛",http://m.sothebysrealty.com/236i215/rz06sbnh99rym8e9r028ytqdh3i215,Eagle Beach,sm,aruba_canada,True,aruba,1,aruba,/data2/abhipsa/geographical-profiling-static/data/image_folders/bedroom_region_balanced_images/00040.jsonl.gz-3541467.jpg
00057.jsonl.gz-12243321,"Additional photo for property listing at Azure Residences 3 bedroom Eagle Beach, Aruba Aruba",http://m.sothebysrealty.com/236i0/yfyejyjaq6ww4da8swgzcwwdy3i,Eagle Beach_Aruba_Aruba,sm,"colombia_aruba_philippines_ghana_indonesia_bonaire, sint eustatius and saba_nepal_canada_kenya",True,aruba,1,aruba,/data2/abhipsa/geographical-profiling-static/data/image_folders/bedroom_region_balanced_images/00057.jsonl.gz-12243321.jpg
