id,text,url,processed_gpe,predicted_model,string_matches,predicted_country,heirarchical_without_sm_geonames,more_flag_h,mixtral_spacy,svm,svm_1,mixtral,local_path
00055.jsonl.gz-11219911,"Resolute Support (RS) forces arrive at the site of a car bomb explosion in Kabul, Afghanistan, Thursday, Sept. 5, 2019. A car bomb rocked the Afghan capital on Thursday and smoke rose from a part of eastern Kabul near a neighborhood housing the U.S. Embassy, the NATO Resolute Support mission and other diplomatic missions. (AP Photo/Rahmat Gul)","https://www.watson.ch/imgdb/480e/Qx,A,0,0,4438,2841,1849,1183,739,473/8125071649922113",Kabul_Afghanistan_Kabul,sm,"{'country': 'afghanistan', 'location': 'kabul'}",afghanistan,afghanistan_philippines_bulgaria_pakistan_uzbekistan,True,(country name/no)'. the output should only be 'no' or the name of the country. output: afghanistan,0,1,afghanistan,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00055.jsonl.gz-11219911.jpg
00000.jsonl.gz-15197096,"Kabul, 23 July 2005..A soldier stop the traffic to let his main car to pass by.",https://m.psecn.photoshelter.com/img-get2/I0000zOYdgJ.fqOg/fit=1000x750/2307050906.jpg,Kabul,sm,"{'country': 'afghanistan', 'location': 'kabul'}",afghanistan,afghanistan_philippines_bulgaria_pakistan_uzbekistan,True,afghanistan,1,1,afghanistan,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00000.jsonl.gz-15197096.jpg
00088.jsonl.gz-5781809,"An Afghan fuel station employee fills the tank of a car at a service station in Kabul, 17 April 2006. Oil prices hit 70 USD a barrel in Asian trade on concerns over tight US gasoline stocks and continued fears the United States could launch military strikes against Iran's nuclear facilities, dealers said. AFP PHOTO/ SHAH Marai (Photo credit should read SHAH MARAI/AFP/GettyImages)",https://static.dw.com/image/43858296_301.jpg,Kabul_US_the United States_Iran,sm,{},,afghanistan_indonesia_russian federation_philippines_senegal_peru_bulgaria_guatemala_pakistan_france_united states_uzbekistan,True,(country name/no)'. the output should only be 'no' or the name of the country. output: afghanistan,1,1,afghanistan,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00088.jsonl.gz-5781809.jpg
00026.jsonl.gz-14992615,#landrover #landroverdefender #landroverseries #landroverdefender90 #landrovers#landroverexperience #landroverphotos #landroverowners #landscape  #defender90 #def #carporn #cameltrophy #adventures #offroad#fuoristrada #mud #mudlife #extreme #car  #followme #cars @defender_life_style  #albania by landax91 #landrover #landroverdefender #landroverseries #landroverdefender90 #landrovers#landroverexperience #landroverphotos #landroverowners #landscape  #defender90 #def #carporn #cameltrophy…,https://i.pinimg.com/236x/02/d5/fb/02d5fb4e35e09da344333a89cb666e96.jpg,albania,sm,{'country': 'albania'},albania,albania_mexico_colombia_costa rica_italy_honduras,True,albania,1,1,albania,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00026.jsonl.gz-14992615.jpg
00014.jsonl.gz-17939302,"Albania Flag Car Seat Covers Cannon Style Bn101 - Cute Design, Universal Fit",https://cdn.shopify.com/s/files/1/0369/4005/4668/products/albania-flag-car-seat-covers-cannon-style-bn101-215515-yourcarbutbetter_427_400x.jpg?v=1585760867,Albania,lg,{'country': 'albania'},albania,albania_mexico_colombia_costa rica_italy_honduras,True,albania,0,1,albania,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00014.jsonl.gz-17939302.jpg
00089.jsonl.gz-14292049,"A Google street view car (R) drives through the streets of Tirana, Albania, 01 May 2016.",https://ichef.bbci.co.uk/news/976/cpsprodpb/16A47/production/_89934729_89934728.jpg,Tirana_Albania,sm,"{'country': 'albania', 'location': 'tirana'}",albania,albania_mexico_colombia_costa rica_italy_honduras,True,albania,1,1,albania,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00089.jsonl.gz-14292049.jpg
00013.jsonl.gz-11448730,driving off-road car in the sahara - Camera car in the...,https://cdn.xxl.thumbs.canstockphoto.com/canstock32697654.jpg,off-road - the...,,{},,no,False,no,1,1,algeria,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00013.jsonl.gz-11448730.jpg
00092.jsonl.gz-1386406,Man removes mud around his car in his garage after floods in Ghardaia south of Algiers,https://t3.ftcdn.net/jpg/01/50/11/78/240_F_150117865_q8ho5qQ8fW3HSHZzZWXvocUruR1Bu8Ba.jpg,Ghardaia_Algiers,sm,"{'country': 'algeria', 'location': 'algiers'}",algeria,south africa_algeria_united states_philippines,True,algeria,1,1,algeria,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00092.jsonl.gz-1386406.jpg
00014.jsonl.gz-4112057,Driving off-road car in the sahara desert stock footage,https://thumbs.dreamstime.com/t/driving-off-road-car-sahara-desert-mood-cars-typical-landscape-68584221.jpg,off-road,,{},,no,False,no,1,1,algeria,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00014.jsonl.gz-4112057.jpg
00074.jsonl.gz-7529757,Image of American Samoa Polynesian Personalised Car Seat Covers - Legend of American Samoa (Reggae),https://cdn.shopify.com/s/files/1/2074/1905/products/front_1_19ed8924-4542-470e-b634-cf9c11e582f5_large.jpg?v=1611565690,samoa personalised covers - samoa (reggae),,{'country': 'samoa'},samoa,no,False,no,1,1,american samoa,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00074.jsonl.gz-7529757.jpg
00033.jsonl.gz-17386289,Seal of American Samoa Car Seat Covers K4,https://cdn.shopify.com/s/files/1/2074/1905/products/front_1_0b4e9089-e5da-4282-bb92-337b13252e90_large.jpg?v=1545021479,samoa covers k4,,{'country': 'samoa'},samoa,no,False,no,1,1,american samoa,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00033.jsonl.gz-17386289.jpg
00124.jsonl.gz-4662875,"Andorra Car Seat Covers Premium Style Th5 - Cute Design, Universal Fit",https://cdn.shopify.com/s/files/1/0369/4005/4668/products/andorra-car-seat-covers-premium-style-th5-215515-yourcarbutbetter_542_400x.jpg?v=1585761392,"andorra covers th5 - design,",,{'country': 'andorra'},andorra,no,False,no,1,1,andorra,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00124.jsonl.gz-4662875.jpg
00021.jsonl.gz-4310072,"Andorra (French Adm.), Car, Renault 4 CV, 2019, MNH VF - Unused Stamps",https://delcampe-static.net/img_thumb/auction/000/870/427/390_001.jpg?v=1,Andorra,lg,{'country': 'andorra'},andorra,andorra_cuba_colombia_peru_spain_united states_france,True,andorra,1,1,andorra,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00021.jsonl.gz-4310072.jpg
00122.jsonl.gz-14820319,Exploring the Vallnord region in my zippy rental car from Goldcar rental.,https://i1.wp.com/www.taste2travel.com/wp-content/uploads/2018/05/IMG_4459.jpg?resize=730%2C485,Vallnord,sm,{},,no,False,no,1,1,andorra,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00122.jsonl.gz-14820319.jpg
00063.jsonl.gz-15989108,Private chauffeur with limousine around Angola | Car with driver,http://www.limousine-center.com/limousine-ex1/1-1-97-angola-limousine-sedan-car.jpg,Angola,sm,{'country': 'angola'},angola,"côte d'ivoire_bolivia, plurinational state of_central african republic_colombia_peru_brazil_uganda_united states_angola_bonaire, sint eustatius and saba",True,angola,1,1,angola,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00063.jsonl.gz-15989108.jpg
00096.jsonl.gz-5436495,"History of Angola - Car in Angola, in 1949.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Matr%C3%ADcula_angolana_em_1949.jpg/330px-Matr%C3%ADcula_angolana_em_1949.jpg,Angola,sm,{'country': 'angola'},angola,"côte d'ivoire_bolivia, plurinational state of_central african republic_colombia_peru_brazil_uganda_united states_angola_bonaire, sint eustatius and saba",True,angola,1,1,angola,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00096.jsonl.gz-5436495.jpg
00036.jsonl.gz-5549834,"Leisure - 4x4 driving, offroad driving, adventure, a 4x4 vehicle drives through a mud puddle of water with a man hanging out of the car, dare-devil, fun, rain, puddle of water, offroad adventure in Angola",https://ssl.c.photoshelter.com/img-get2/I0000DUM4O363jS8/fill=/fit=250x250/I0000DUM4O363jS8.jpg,Angola,sm,{'country': 'angola'},angola,"côte d'ivoire_bolivia, plurinational state of_central african republic_colombia_peru_brazil_uganda_united states_angola_bonaire, sint eustatius and saba",True,angola,1,1,angola,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00036.jsonl.gz-5549834.jpg
00065.jsonl.gz-11924618,Antigua Palm Tree Island Vinyl Car Window Decal Sticker,https://www.cardecalgeek.com/wp-content/uploads/2019/04/antigua-palm-tree-island-vinyl-car-window-decal-sticker-600x600.jpg,Antigua,trf,"{'country': 'spain', 'location': 'antigua'}",spain,australia_mexico_spain,True,antigua and barbuda,1,1,antigua and barbuda,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00065.jsonl.gz-11924618.jpg
00079.jsonl.gz-16099795,Car Hire ANTIGUA  Nissan Almera,https://www.globalmediaserver.com/images/cars/NissanAlmera_2.jpg,antigua nissan almera,,"{'country': 'spain', 'location': 'antigua'}",spain,no,False,no,1,1,antigua and barbuda,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00079.jsonl.gz-16099795.jpg
00003.jsonl.gz-17802027,Car Hire CHARLESTOWN  Hyundai i20,https://www.globalmediaserver.com/images/cars/Hyundaii20_4.jpg,CHARLESTOWN,trf,"{'country': 'united states', 'location': 'charlestown'}",united states,guyana_saint vincent and the grenadines_united kingdom_new zealand_australia_south africa_united states_saint kitts and nevis_ireland,True,antigua and barbuda,1,1,antigua and barbuda,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00003.jsonl.gz-17802027.jpg
00007.jsonl.gz-17718240,"Buenos Aires, Argentina - October 30 2016: Police car in plaza de Mayo in Buenos aires in a holiday sunday",https://static1.bigstockphoto.com/1/6/1/large2/161799410.jpg,Argentina_Buenos,sm,{'country': 'argentina'},argentina,cuba_chile_mexico_colombia_guatemala_costa rica_brazil_italy_south africa_united states_argentina,True,argentina,1,1,argentina,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00007.jsonl.gz-17718240.jpg
00020.jsonl.gz-4628300,Nuestra bienvenida en Bahia Blanca💖 Sunset Transportation Car Driving Travel Flying Mid-air Sunlight Air Vehicle Nature Sky Adult Airplane Adults Only Only Men Cockpit People One Man Only Outdoors One Person,https://cdn1.eyeem.com/thumb/159bf641b9cd74d8155edc22c10d051ce3c81e37-1492892387709/w/400,Bahia Blanca,trf,{},,argentina_colombia_spain,True,argentina,1,1,argentina,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00020.jsonl.gz-4628300.jpg
00005.jsonl.gz-8607472,Green Car - Argentina by Kent DuFault,"http://ih0.redbubble.net/image.7687324.3421/flat,220x200,075,t.u2.jpg",Argentina,trf,{'country': 'argentina'},argentina,cuba_chile_mexico_colombia_guatemala_costa rica_brazil_italy_south africa_argentina,True,argentina,1,1,argentina,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00005.jsonl.gz-8607472.jpg
00115.jsonl.gz-6909936,"Yerevan, Armenia - 20 March 2019. Toyota Camry modified by Khann tuning atelier standing near of Toyota Yerevan dealership. Black car and bright sun",https://image.shutterstock.com/image-photo/yerevan-armenia-20-march-2019-260nw-1352086472.jpg,Yerevan_Armenia_Yerevan,trf,"{'country': 'armenia', 'location': 'yerevan'}",armenia,"el salvador_bolivia, plurinational state of_russian federation_philippines_colombia_mexico_guatemala_armenia_costa rica_south africa_united states_honduras_ecuador",True,armenia,1,1,armenia,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00115.jsonl.gz-6909936.jpg
00059.jsonl.gz-12740959,"""Armenia — A car with the """"Warning! Female Driver"""" sign attached, Yerevan, 21Mar2016""",https://i1.wp.com/ditord.com/wp-content/uploads/2016/03/20160321_160612-scaled.jpg?resize=251%2C250&ssl=1,Armenia,sm,{'country': 'armenia'},armenia,"el salvador_bolivia, plurinational state of_russian federation_philippines_colombia_mexico_guatemala_armenia_costa rica_south africa_united states_honduras_ecuador",True,armenia,1,1,armenia,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00059.jsonl.gz-12740959.jpg
00119.jsonl.gz-17373503,"Yerevan, Armenia - 10 November 2019. Champagne gold old school muscle car Chevrolet Camaro in good condition stands at central street parking under shiny autumn sun.",https://image.shutterstock.com/image-photo/yerevan-armenia-10-november-2019-260nw-1556090012.jpg,Armenia,sm,{'country': 'armenia'},armenia,"el salvador_bolivia, plurinational state of_russian federation_philippines_colombia_mexico_guatemala_armenia_costa rica_south africa_united states_honduras_ecuador",True,armenia,1,1,armenia,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00119.jsonl.gz-17373503.jpg
00078.jsonl.gz-6411478,Renting a Car in Aruba,https://1.bp.blogspot.com/-_dqvuie7Jk0/XmO3saTT3aI/AAAAAAAAUPc/gzM9pQYSmYQXav7C8pljH_KnFHH98jgYgCLcBGAsYHQ/s1600/IMG_0305-min.jpg,Aruba,sm,{'country': 'aruba'},aruba,"kenya_aruba_indonesia_ghana_nepal_philippines_colombia_bonaire, sint eustatius and saba",True,aruba,1,1,aruba,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00078.jsonl.gz-6411478.jpg
00061.jsonl.gz-15608249,"Emergency services were called to a two-car collision on the Pacific Highway on Wednesday afternoon (Jan 1, 2020)",https://media.apnarm.net.au/media/images/2020/01/01/v3imagesbin928223fee1f3f217c761083ab1dad0b7-5q6k3hy45ppnarc7lt2_ct1880x930.jpg,"services called two-car (jan 1, 2020)",,{},,no,False,no,1,1,australia,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00061.jsonl.gz-15608249.jpg
00006.jsonl.gz-9318329,Darwin to Adelaide Solar Car Challenge 2013 Greeting Card,"http://ih0.redbubble.net/image.16421738.2288/papergc,220x200,w,ffffff-pad,220x200,ffffff.2.jpg",Darwin_Adelaide,trf,"{'country': 'australia', 'location': 'darwin'}",australia,zimbabwe_falkland islands (malvinas)_canada_cuba_philippines_new zealand_united kingdom_colombia_bahamas_sri lanka_australia_south africa_united states_argentina,True,australia,1,1,australia,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00006.jsonl.gz-9318329.jpg
00060.jsonl.gz-8145776,"Craigieburn, Victoria - Australia 'Car, Truck and Bike Show' Photographed by Karen Robinson Feb 2018 NB. All images are protected by copyright laws. Comments: The Craigieburn Camera Club organised an outing to this event to give club members an opportunity to photograph an array of vehicles at Craigieburn Central. Jess - the model came dressed in her best Rockabilly gear to pose for the club with the cars, bikes and truck.",https://idoartkarenrobinson.files.wordpress.com/2018/03/craigieburn-victoria-australia-car-truck-and-bike-show-photographs-by-karen-robinson-nb-all-images-are-protected-by-copyright-laws-www-idoartkarenrobinson-com-february-25-2018_014.jpg?w=245&h=163,Craigieburn_Victoria_Australia,trf,"{'country': 'australia', 'location': 'craigieburn'}",australia,"finland_equatorial guinea_zimbabwe_canada_cuba_romania_seychelles_bolivia, plurinational state of_russian federation_ukraine_new zealand_colombia_panama_puerto rico_guatemala_costa rica_viet nam_venezuela, bolivarian republic of_malta_sierra leone_argentina_uruguay_saint lucia_greece_trinidad and tobago_moldova, republic of_el salvador_switzerland_peru_cameroon_australia_china_italy_norway_united states_türkiye_macao_albania_spain_south africa_belarus_jamaica_france_suriname_hong kong_guyana_chile_philippines_mexico_grenada_taiwan, province of china_montserrat_sri lanka_paraguay_north macedonia_united kingdom_hungary_honduras_ecuador",True,(country name/no)'. the output should only be 'no' or the name of the country. output: australia,1,1,australia,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00060.jsonl.gz-8145776.jpg
00078.jsonl.gz-3614275,"Marshals remove the damaged car of Brendon Hartley, Toro Rosso STR13, from the circuit as the gearbox hangs off the back",https://cdn-9.motorsport.com/images/mgl/YPxleRGY/s8/f1-spanish-gp-2018-marshals-remove-the-damaged-car-of-brendon-hartley-toro-rosso-str13-fro.jpg,STR13,md,{},,no,False,no,0,1,austria,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00078.jsonl.gz-3614275.jpg
00112.jsonl.gz-4907639,BMW-M6-Safety-Car-Winter-Drift-Soelden-11,http://cdn.bimmertoday.de/wp-content/uploads/2016/01/BMW-M6-Safety-Car-Winter-Drift-Soelden-11-120x120.jpg,bmw-m6-safety-car-winter-drift-soelden-11,,{},,no,False,no,1,1,austria,/data2/abhipsa/geographical-profiling-static/data/image_folders/car_region_balanced_images/00112.jsonl.gz-4907639.jpg
