id,text,url,processed_gpe,predicted_model,heirarchical_without_sm_geonames,more_flag_h,mixtral_spacy,svm_1,mixtral,local_path
00000.jsonl.gz-15681606,Darulaman Suites Hotel Apartment,https://h1.fmet1.com/0E/1FA83D5489F1611CBF461A30B5D5C1.jpg,darulaman suites,,no,False,no,1,afghanistan,/data2/abhipsa/geographical-profiling-static/data/image_folders/hotel_region_balanced_images/00000.jsonl.gz-15681606.jpg
00094.jsonl.gz-3500492,Afghan hotel attack stirs fresh debate on private security firms,https://s.yimg.com/uu/api/res/1.2/4Cyruy_ktwAGNAWmv201mQ--~B/Zmk9c3RyaW07aD0xNDQ7cHlvZmY9MDtxPTgwO3c9MTQ0O3NtPTE7YXBwaWQ9eXRhY2h5b24-/http://media.zenfs.com/en_us/News/Reuters/2018-01-23T123239Z_1_LYNXMPEE0M0WJ_RTROPTP_2_AFGHANISTAN-ATTACKS.JPG.cf.jpg,stirs firms,,no,False,no,1,afghanistan,/data2/abhipsa/geographical-profiling-static/data/image_folders/hotel_region_balanced_images/00094.jsonl.gz-3500492.jpg
00098.jsonl.gz-3957857,Smoke pours from a hotel after it was hit by a rocket-propelled grenade in Kabul,https://i2.wp.com/i.dailymail.co.uk/i/pix/2012/04/15/article-2130017-129B8203000005DC-685_306x471.jpg,Kabul,sm,bulgaria_afghanistan_philippines_uzbekistan_pakistan,True,afghanistan,1,afghanistan,/data2/abhipsa/geographical-profiling-static/data/image_folders/hotel_region_balanced_images/00098.jsonl.gz-3957857.jpg
00029.jsonl.gz-14349205,Front of Luxury Historic Adriatik Hotel in Albania,https://chambermaster.blob.core.windows.net/images/customers/3150/members/6332/photos/GALLERY_MAIN/adriatik_main_1.jpg,Albania,sm,mexico_albania_colombia_costa rica_honduras_italy,True,albania,1,albania,/data2/abhipsa/geographical-profiling-static/data/image_folders/hotel_region_balanced_images/00029.jsonl.gz-14349205.jpg
00073.jsonl.gz-12904292,"Tirana, Albania - June 2nd 2018 - The downtown city of Tirana with the Plaza hotel in the background, a mosque and the Albania flag in a summer day - Stock Photo",https://l450v.alamy.com/450v/r8gyxb/tirana-albania-june-2nd-2018-the-downtown-city-of-tirana-with-the-plaza-hotel-in-the-background-a-mosque-and-the-albania-flag-in-a-summer-day-r8gyxb.jpg,Tirana_Albania - June 2nd 2018_Tirana_Albania,sm,mexico_albania_colombia_costa rica_honduras_italy,True,albania,1,albania,/data2/abhipsa/geographical-profiling-static/data/image_folders/hotel_region_balanced_images/00073.jsonl.gz-12904292.jpg
00036.jsonl.gz-1874265,"Hotel Royal G, Dürres, letecky, all inclusive4",https://skrz.cz/storage/img/20210703/600x375_35b4fbc1012aba751bda58089543e3ad.jpg,Dürres_letecky,trf,no,False,no,1,albania,/data2/abhipsa/geographical-profiling-static/data/image_folders/hotel_region_balanced_images/00036.jsonl.gz-1874265.jpg
00036.jsonl.gz-2697030,Photo de Royal Hotel Oran - MGallery Collection,https://media-cdn.tripadvisor.com/media/photo-l/10/dd/69/b3/beautiful-view-from-our.jpg,oran - mgallery,,no,False,no,1,algeria,/data2/abhipsa/geographical-profiling-static/data/image_folders/hotel_region_balanced_images/00036.jsonl.gz-2697030.jpg
00020.jsonl.gz-18018121,Le Meridien Oran Hotel & Convention Centre,http://media-cdn.tripadvisor.com/media/photo-f/02/56/4d/34/le-meridien-oran.jpg,le meridien oran & centre,,no,False,no,1,algeria,/data2/abhipsa/geographical-profiling-static/data/image_folders/hotel_region_balanced_images/00020.jsonl.gz-18018121.jpg
00095.jsonl.gz-14747074,AZ GROUP BUILDS TWO HOTEL INFRASTRUCTURE IN ALGERIA,https://www.gambetanews.com/wp-content/uploads/2018/05/az-group-200x140.jpg,ALGERIA,sm,philippines_algeria,True,algeria,1,algeria,/data2/abhipsa/geographical-profiling-static/data/image_folders/hotel_region_balanced_images/00095.jsonl.gz-14747074.jpg
00024.jsonl.gz-1130578,"Pago Pago Intercontinental Hotel, Swimming Pool, American Samoa, 40-60s",https://storage.googleapis.com/hippostcard/p/824c407d705d321105888a66c78d51c6-300.jpg,American Samoa,trf,american samoa,False,american samoa,1,american samoa,/data2/abhipsa/geographical-profiling-static/data/image_folders/hotel_region_balanced_images/00024.jsonl.gz-1130578.jpg
00050.jsonl.gz-7539252,"Passengers viewing Rainmaker hotel, Pago Pago from the aft end of a cruise ship 1980.American Samoa, United States",https://ssl.c.photoshelter.com/img-get/I0000UNclmjo6TDQ/t/200/I0000UNclmjo6TDQ.jpg,United States,sm,united states,False,united states,1,american samoa,/data2/abhipsa/geographical-profiling-static/data/image_folders/hotel_region_balanced_images/00050.jsonl.gz-7539252.jpg
00097.jsonl.gz-4978091,Photo of Tradewinds Hotel Pago Pago,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/8e/72/8e726c9bb5cd5448fa09a0cf5348638c6large.jpg,tradewinds pago pago,,no,False,no,1,american samoa,/data2/abhipsa/geographical-profiling-static/data/image_folders/hotel_region_balanced_images/00097.jsonl.gz-4978091.jpg
00080.jsonl.gz-991743,hotel ski andorre trip adekua - Travel Guide : 1 day in Andorre !,https://i1.wp.com/sejour-ski.voyages-adekua.fr/sites/default/files/ski/produit/5-jours-ski-freeride-andorre-avec-heliski-dans-la-station-darcalis/images/hotel-ski-andorre-trip-adekua.jpg?resize=630%2C354&ssl=1,Andorre,sm,no,False,no,1,andorra,/data2/abhipsa/geographical-profiling-static/data/image_folders/hotel_region_balanced_images/00080.jsonl.gz-991743.jpg
00027.jsonl.gz-4506454,H tel plaza spa andorre la vieille france andorre ecotour for Location hotel france derniere minute,https://static.service-voyages.com/photos/thalasso-france-andorre/andorre-la-vieille/spa-plaza---spa_410985_pgbighd.jpg,france_france,sm,greece_south africa_netherlands_mozambique_france_zimbabwe_portugal_united states_côte d'ivoire,True,andorra,1,andorra,/data2/abhipsa/geographical-profiling-static/data/image_folders/hotel_region_balanced_images/00027.jsonl.gz-4506454.jpg
00012.jsonl.gz-9517076,Superior Room - Free Spa Access - Grau Roig Andorra Boutique Hotel & Spa - Andorra Area,https://d1rioy1v9s51jr.cloudfront.net/pics/18165/450x270/grau-roig-andorra-boutique-spa-23_5122.jpg,Andorra Area,trf,no,False,no,1,andorra,/data2/abhipsa/geographical-profiling-static/data/image_folders/hotel_region_balanced_images/00012.jsonl.gz-9517076.jpg
00125.jsonl.gz-16818529,Photo of EPIC SANA Luanda Hotel,https://media-cdn.tripadvisor.com/media/photo-l/07/ba/c5/cc/epic-sana-luanda-hotel.jpg,sana luanda,,no,False,no,1,angola,/data2/abhipsa/geographical-profiling-static/data/image_folders/hotel_region_balanced_images/00125.jsonl.gz-16818529.jpg
