id,text,url,processed_gpe,predicted_model,string_matches,predicted_country,mixtral,heirarchical_without_sm_geonames,more_flag_h,mixtral_spacy,svm_1,local_path
00103.jsonl.gz-14223467,"Two-Story Concreted House for Sale near Shaheed Square, Kabul.",https://www.maskanyab.af/wp-content/uploads/2020/02/Two-Story-Concreted-House-for-Sale-near-Shaheed-Square-Kabul.-2-385x258.jpg,Kabul,sm,"{'country': 'afghanistan', 'location': 'kabul'}",afghanistan,afghanistan,Afghanistan,True,afghanistan,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00103.jsonl.gz-14223467.jpg
00011.jsonl.gz-9993505,"In this Tuesday, Sept. 10, 2019, photo, Afghans inspect their damaged house after a large explosion last week near a compound housing several foreign organizations and guesthouses, in Kabul, Afghanistan. The Taliban car bomb targeted the compound but instead shredded Afghan homes, with stunned and bloodied families picking up children and fleeing in darkness as their once-solid world collapsed. As America on Wednesday mourns thousands of civilians killed in the 9/11 attacks, weary Afghans watch their own toll from the aftermath continue to rise. (AP Photo/Rahmat Gul)",https://static.seattletimes.com/wp-content/uploads/2019/09/urn-publicid-ap-org-d619f2a9fd3b47fa812d707fafd5f146Afghanistan_Civilians_in_the_Crossfire_10472-780x520.jpg,Kabul_Afghanistan_America,sm,"{'country': 'afghanistan', 'location': 'kabul'}",afghanistan,afghanistan,Netherlands_Afghanistan,True,(country name/no)'. the output should only be 'no' or the name of the country. output: afghanistan,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00011.jsonl.gz-9993505.jpg
00125.jsonl.gz-790300,Large house for sale in 12th District of Kabul,https://maskanyab.af/wp-content/uploads/2021/01/Large-house-for-sale-in-12th-District-of-Kabul-Afghanistan.jpg,Kabul,sm,"{'country': 'afghanistan', 'location': 'kabul'}",afghanistan,afghanistan,Afghanistan,True,afghanistan,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00125.jsonl.gz-790300.jpg
00001.jsonl.gz-12379260,Albania Vacation House for Rent in Gjiri Lalzit,https://albaniapropertygroup.com/source/Durres-ALD140/CSC_0527.jpg,Albania_Gjiri Lalzit,trf,{'country': 'albania'},albania,albania,Colombia,True,albania,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00001.jsonl.gz-12379260.jpg
00009.jsonl.gz-16643563,Close to Valbona river alpine wooden house Albania Stock Photos,https://images.pond5.com/close-valbona-river-alpine-wooden-photo-037244156_iconm.jpeg,Albania,sm,{'country': 'albania'},albania,albania,Colombia,True,albania,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00009.jsonl.gz-16643563.jpg
00046.jsonl.gz-17437230,"Faby's Guest House,  Tirana",https://q-ec.bstatic.com/images/hotel/square150/906/90623856.jpg,Tirana,sm,"{'country': 'albania', 'location': 'tirana'}",albania,albania,Albania,True,albania,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00046.jsonl.gz-17437230.jpg
00076.jsonl.gz-6391093,"Traditional house in the old kasbah, old town, Oasis of Taghit, western Algeria, North Africa, Africa",https://images.robertharding.com/zoom/RM/RH/HORIZONTAL/1184-3193.jpg,Algeria_North Africa,sm,{'country': 'algeria'},algeria,algeria,Philippines,True,algeria,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00076.jsonl.gz-6391093.jpg
00054.jsonl.gz-3443727,High quality Sandwich panel prefabricated house in algeria,http://sc02.alicdn.com/kf/HTB1vFG2PXXXXXXHaXXXq6xXFXXXw/200102843/HTB1vFG2PXXXXXXHaXXXq6xXFXXXw.jpg,Sandwich_algeria,sm,"{'country': 'united states', 'location': 'sandwich'}",united states,algeria,Philippines_United States,True,algeria,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00054.jsonl.gz-3443727.jpg
00005.jsonl.gz-19770,Country House Hotel Tipasa,http://media-cdn.tripadvisor.com/media/photo-l/02/bf/81/f9/caption.jpg,tipasa,,"{'country': 'algeria', 'location': 'tipasa'}",algeria,algeria,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00005.jsonl.gz-19770.jpg
00056.jsonl.gz-8321534,Our interior design project for a house in Andorra appears on Houzz,https://www.coblonal.com/wp-content/uploads/2018/01/interiorismo-andorra-Coblonal-Interiorismo-150x150.png,Andorra,trf,{'country': 'andorra'},andorra,andorra,Spain,True,andorra,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/house_region_balanced_images/00056.jsonl.gz-8321534.jpg
