id,text,url,mixtral,processed_gpe,predicted_model,heirarchical_without_sm_geonames,more_flag_h,mixtral_spacy,svm_1,local_path
00114.jsonl.gz-11795402,Modern Bathroom Designs From Rexa by Modern Classic In Albania On Behance Toilet In 2019,https://tse2.mm.bing.net/th?id=OIP.1fBvHWYRl_utnUAy4If2uwHaI4,albania,Albania,trf,mexico_italy_albania_honduras_costa rica_colombia,True,albania,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00114.jsonl.gz-11795402.jpg
00037.jsonl.gz-4437797,"Ibis Constantine, Algeria 'French toilet' and leaking shower",https://media-cdn.tripadvisor.com/media/photo-l/05/98/72/63/ibis-constantine.jpg,algeria,Algeria,sm,philippines_algeria,True,algeria,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00037.jsonl.gz-4437797.jpg
00054.jsonl.gz-10210094,El Aurassi Hotel: Newly done up toilet,https://media-cdn.tripadvisor.com/media/photo-s/02/7a/18/10/filename-imag0369-jpg.jpg,algeria,aurassi hotel:,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00054.jsonl.gz-10210094.jpg
00063.jsonl.gz-8745285,"In this May 7, 2013 photo, a toilet lays among the ruins of the village of Epecuen, which once was submerged in water in Argentina. Epecuen was once a bustling little lakeside resort, where 1,500 people served 20,000 tourists a season. During Argentina's golden age, the same trains that carried grain to the outside world brought visitors from the capital to relax in Epecuen's saltwater baths and spas. (AP Photo/Natacha Pisarenko)",https://s.yimg.com/bt/api/res/1.2/LWMe2lErQAZlqoLe2tiwaQ--/YXBwaWQ9eW5ld3NfbGVnbztmaT1maWxsO2g9Mzc3O2lsPXBsYW5lO3B4b2ZmPTUwO3B5b2ZmPTA7cT03NTtzbT0xO3c9Njcw/http://media.zenfs.com/en_us/News/ap_webfeeds/db596e24b1816a0f310f6a7067008166.jpg,argentina,Epecuen_Argentina_Argentina_Epecuen,sm,cuba_mexico_italy_colombia_argentina_south africa_chile_costa rica_guatemala_brazil,True,argentina,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00063.jsonl.gz-8745285.jpg
00015.jsonl.gz-5187874,Close-coupled toilet suite in Pampas Gallery Image,https://www.buildscotland.co.uk/gallery/4913/15f2c632-13a2-4a1a-97d5-fbaee4e7bd99.jpg,argentina,Pampas,trf,"mexico_united states_argentina_peru_bolivia, plurinational state of_australia_costa rica",True,argentina,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00015.jsonl.gz-5187874.jpg
00063.jsonl.gz-15720278,Close-coupled toilet suite in Pampas Gallery Thumbnail,https://www.construction.co.uk/gallery/4913/t_15f2c632-13a2-4a1a-97d5-fbaee4e7bd99.jpg,argentina,Pampas,trf,"mexico_united states_argentina_peru_bolivia, plurinational state of_australia_costa rica",True,argentina,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00063.jsonl.gz-15720278.jpg
00080.jsonl.gz-11053563,Refitted Armenian toilet,https://www.lifeintheexpatlane.com/wp-content/uploads/2013/02/ARM-Toilet-400x500.jpg,armenia,refitted,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00080.jsonl.gz-11053563.jpg
00002.jsonl.gz-7007680,"Camelot Hotel: The toilet and bath area, not the best picture but it does have bathtub",https://media-cdn.tripadvisor.com/media/photo-s/01/aa/16/0e/camelot-hotel.jpg,armenia,"camelot hotel: area,",,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00002.jsonl.gz-7007680.jpg
00069.jsonl.gz-7768535,Refitted Armenian toilet,https://i0.wp.com/lifeintheexpatlane.com/wp-content/uploads/2013/02/ARM-Toilet-400x500.jpg?resize=400%2C500&ssl=1,armenia,refitted,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00069.jsonl.gz-7768535.jpg
00017.jsonl.gz-933691,Melbourne Close Coupled Toilet with 420mm Cabinet and Basin Set Large Image,https://images.victorianplumbing.co.uk/images/Melbourne-Close-Coupled-Toilet-with-420mm-Cabinet-and-Basin-Set-n-l.jpg,australia,Melbourne,trf,canada_united states_sri lanka_south africa_australia_united kingdom_philippines,True,australia,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00017.jsonl.gz-933691.jpg
00085.jsonl.gz-6249193,Unique Jayco Expanda With Shower Amp Toilet  Albany Getaway Camping,https://img.tradingpost.com.au/476FXTX2/7507/JQ3L-Boxed640x480.jpg,australia,Albany,sm,canada_spain_united states_south africa_jamaica_australia_philippines_zimbabwe_norway_new zealand,True,australia,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00085.jsonl.gz-6249193.jpg
00026.jsonl.gz-3088968,$enCountryForm.capitalKeyWord Australia - Taoup Hot 3pcs Santa Claus Toilet Cover Christmas Decor for Home Xmas Christmas Ornaments Toilet Rug Navidad Decor for Bathroom,https://www.dhresource.com/260x260s/f2-albu-g9-M00-C4-91-rBVaWF1o6oiAT35XAAFPsmt_il0261.jpg/taoup-hot-3pcs-santa-claus-toilet-cover-christmas.jpg,australia,Australia,sm,"cuba_spain_mexico_bolivia, plurinational state of_south africa_australia_colombia_zimbabwe",True,australia,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00026.jsonl.gz-3088968.jpg
00009.jsonl.gz-5852138,"Toilet of Modern Art built in Hundertwasser style, Vienna, Austria","https://slideplayer.com/slide/1513442/5/images/43/Toilet+of+Modern+Art+built+in+Hundertwasser+style,+Vienna,+Austria.jpg",austria,Vienna_Austria,sm,canada_united states_italy_mexico_south africa_greece_austria_philippines,True,austria,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00009.jsonl.gz-5852138.jpg
